"date","ARDA","BROW","CAMP","CASU","COOM","CORR","COYR","DULB","DUMB","FLAG","GOUN","GUND","KOND","KWOB","LITT","MART","MEAR","MIRI","MTMA","NOON","PARK","QUEE","REDB","TAAN","TAAR","TOOL","WALB","WARG","WEST","WHIN","WHIW","YEAL"
2007-03-27,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-28,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-01,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,NA
2007-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2007-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA
2007-09-11,NA,0.32,NA,0.48,0.36,NA,0.43,0.47,0.76,NA,NA,NA,NA,NA,0.2,NA,0.61,NA,NA,NA,NA,NA,NA,0.19,0,0,0.15,NA,NA,0,0.11,1.27
2007-09-12,0.1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-11-03,0,0.19,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0.47,NA,NA,0,NA,NA,0,0,0,0,0,NA,NA,0,0,1.09
2007-11-04,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.26,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA
2007-11-05,NA,NA,NA,0.48,0.28,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-07-14,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,0.27,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA
2008-09-13,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,0.28,0.3,0,0.45,NA,NA,-0.025,NA,NA
2008-09-14,1.13,1.08,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,0.02,1.88
2008-09-19,NA,NA,0.36,0.98,0.87,NA,0.78,NA,0.65,0.83,NA,NA,NA,NA,NA,0.68,NA,NA,NA,0.105,0.85,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA
2008-11-03,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.26,0,0.39,NA,NA,-0.025,NA,NA
2008-11-04,1.13,0.96,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1.78
2008-11-06,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-08,NA,NA,NA,0.89,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-11-09,NA,NA,NA,NA,0.83,NA,NA,NA,0.54,0.75,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA
2009-05-09,NA,NA,NA,NA,0.66,NA,NA,NA,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
2009-07-17,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-09-12,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.15,0,0.26,NA,NA,-0.04,NA,NA
2009-09-13,0.74,0.19,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,-0.005,1.11
2009-09-17,NA,NA,NA,1.14,0.98,NA,1.24,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,0.6,NA,0.75,NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2009-09-19,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-09,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,NA,NA,0,NA,NA
2009-11-10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.89
2009-11-12,0.47,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-13,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-14,NA,NA,NA,0.9,0.8,NA,1.03,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA
2010-09-11,NA,0,NA,NA,NA,NA,NA,0.53,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,NA,NA,0,0,0.58
2010-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-09-13,0.08,NA,0.125,0.66,0.46,0,0.3,NA,0.35,0.2,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,0.34,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2010-11-07,NA,NA,NA,0.4,0.14,NA,0,NA,0.175,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2010-11-10,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,0.1,0,0,0,NA,NA,0,0,0.255
2010-11-12,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-09-10,NA,NA,NA,NA,0.72,NA,NA,NA,0.46,0.41,NA,NA,NA,NA,0.361,0.31,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,0.43,-0.06,NA,NA
2011-09-11,0.83,0.14,0.53,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.16,0,0,0,NA,NA,NA,0.02,0.99
2011-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-09-16,NA,NA,NA,1.04,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-11-05,NA,0.085,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,0.06,0.14,0,0,0,NA,NA,-0.035,0,0.97
2011-11-06,1.34,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-11-07,NA,NA,NA,1.54,1.04,NA,1.06,NA,NA,0.48,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,0.225,NA,NA,NA
2011-11-08,NA,NA,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-12,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-13,NA,NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2012-09-08,NA,NA,NA,1.04,0.99,NA,NA,NA,0.47,0.29,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA
2012-09-09,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-10,0.39,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-12,NA,0.09,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.24
2012-09-13,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,NA,NA,0,NA,NA
2012-11-03,NA,NA,NA,0.89,0.79,NA,1.31,NA,NA,0.16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2012-11-04,NA,0,NA,NA,NA,NA,NA,0,0.18,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0
2012-11-07,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-08,NA,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-16,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-18,1.26,NA,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-09-20,NA,NA,NA,1.47,0.81,NA,0.99,NA,0.46,0.34,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,0.59,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA
2013-09-21,NA,0.67,NA,NA,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,0,0,NA,NA,-0.06,0.04,1.57
2013-11-04,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-11-05,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2013-11-11,NA,0.46,NA,NA,NA,0.97,NA,0,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,0.045,0,0,0,NA,NA,0,0,1.4
2013-11-15,NA,NA,NA,0.95,0.73,NA,0.87,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-13,NA,NA,NA,0.92,NA,NA,0.81,NA,NA,0.32,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA
2014-09-14,NA,0.09,NA,NA,1.21,NA,NA,0.89,0.55,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.1,0,0,NA,NA,-0.02,0,1.31
2014-09-15,1.08,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-21,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-01,NA,NA,NA,1.01,NA,NA,1.36,NA,NA,0.28,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2014-11-02,NA,0.005,NA,NA,1.47,NA,NA,0.74,0.75,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,1.23
2014-11-03,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-11-08,0.85,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-12,NA,NA,NA,0.66,NA,NA,0.56,NA,NA,0.14,NA,NA,NA,NA,NA,0.025,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2015-09-13,NA,0.09,NA,NA,0.7,NA,NA,0.5,0.36,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.05,0,0,NA,NA,0,0,0.7
2015-09-14,1.1,NA,1.02,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.23,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-09,NA,NA,NA,0.43,NA,NA,0.37,NA,NA,0.05,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2015-11-10,NA,0,NA,NA,0.48,0,NA,0,0.24,NA,NA,NA,NA,NA,0.09,NA,0.14,NA,NA,0.105,NA,NA,NA,0.11,0,0,0,NA,NA,0,0,0.48
2015-11-11,0.78,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA
